"","AGE","MARSTAT","EDUCATION","NUMHH","INCOME","FACE"
"1",30,"not single",16,3,43000,20000
"2",50,"not single",9,3,12000,130000
"3",39,"not single",16,5,120000,1500000
"4",43,"not single",17,4,40000,50000
"5",34,"not single",11,4,28000,220000
"6",29,"not single",16,3,100000,600000
"7",72,"not single",17,2,112000,100000
"8",51,"not single",16,4,15000,2500000
"9",58,"single",14,1,32000,250000
"10",73,"not single",12,2,25000,50000
"11",35,"not single",12,6,40000,90000
"12",60,"not single",16,2,66000,10000
"13",46,"not single",17,4,120000,2000000
"14",43,"single",13,3,13000,50000
"15",50,"not single",17,2,200000,1500000
"16",56,"single",14,1,50000,150000
"17",32,"not single",7,4,45000,100000
"18",64,"single",13,1,42000,60000
"19",62,"single",16,1,225000,1100000
"20",61,"not single",17,2,102000,30000
"21",54,"single",13,7,34000,100000
"22",60,"single",17,1,70000,75000
"23",30,"not single",17,2,270000,1000000
"24",52,"not single",16,2,292000,1000000
"25",60,"not single",13,3,95000,200000
"26",43,"not single",17,6,7870000,2700000
"27",55,"not single",17,2,105000,150000
"28",50,"not single",16,4,90000,102000
"29",34,"not single",16,5,84000,400000
"30",50,"not single",12,3,93000,500000
"31",56,"not single",17,4,155000,900000
"32",58,"not single",17,2,170000,75000
"33",42,"not single",13,4,53000,10000
"34",37,"not single",12,2,110000,100000
"35",62,"not single",17,2,200000,1500000
"36",49,"not single",14,5,105000,50000
"37",56,"single",14,1,58000,200000
"38",64,"not single",17,2,240000,50000
"39",48,"not single",16,2,58000,50000
"40",52,"not single",16,3,60000,400000
"41",48,"not single",10,4,52000,50000
"42",41,"not single",16,4,45000,1200000
"43",29,"not single",12,4,40000,100000
"44",40,"not single",16,4,91000,400000
"45",28,"not single",16,2,27000,40000
"46",33,"not single",15,4,155000,700000
"47",42,"not single",14,4,102000,360000
"48",59,"not single",17,2,30000,180000
"49",40,"not single",17,3,190000,200000
"50",38,"not single",16,4,63000,100000
"51",58,"not single",13,2,58000,26000
"52",62,"not single",12,2,41000,20000
"53",45,"not single",16,7,500000,2000000
"54",47,"not single",17,4,90000,2500000
"55",48,"single",13,1,40000,50000
"56",35,"single",16,1,43000,41000
"57",54,"not single",16,2,90000,110000
"58",49,"not single",13,3,72000,115000
"59",43,"not single",12,5,14000,300000
"60",49,"not single",14,2,16000,10000
"61",37,"not single",16,4,86000,250000
"62",31,"not single",12,3,60000,2500000
"63",52,"not single",12,2,28000,20000
"64",41,"not single",11,2,44000,10000
"65",34,"single",16,2,28000,7000
"66",46,"not single",16,3,158000,634000
"67",31,"not single",14,3,82000,650000
"68",41,"not single",17,5,200000,1500000
"69",53,"not single",16,4,476000,3000000
"70",58,"single",16,1,82000,350000
"71",47,"not single",9,3,45000,100000
"72",37,"not single",12,5,62000,1000000
"73",44,"not single",17,5,320000,3000000
"74",51,"not single",17,4,320000,10000000
"75",62,"not single",16,2,98000,300000
"76",52,"not single",14,2,113000,250000
"77",50,"not single",17,5,10000000,2000000
"78",46,"not single",16,5,120000,750000
"79",61,"not single",17,2,150000,500000
"80",23,"not single",10,3,34000,100000
"81",31,"not single",17,2,100000,100000
"82",47,"not single",16,4,52000,500000
"83",51,"not single",13,2,96000,280000
"84",51,"not single",16,4,250000,42000
"85",38,"not single",17,4,123000,750000
"86",35,"not single",12,2,28000,10000
"87",39,"not single",17,8,300000,1750000
"88",47,"not single",17,3,104000,100000
"89",26,"not single",16,2,33000,300000
"90",55,"not single",17,5,100000,3100000
"91",50,"not single",17,2,1010000,1800000
"92",40,"single",8,1,36000,100000
"93",59,"single",15,1,40000,50000
"94",65,"not single",14,2,79000,87000
"95",41,"not single",3,5,40000,225000
"96",55,"not single",13,4,82000,125000
"97",41,"not single",12,4,96000,125000
"98",52,"not single",14,2,180000,160000
"99",57,"not single",16,2,394000,5000
"100",35,"not single",14,5,34000,50000
"101",61,"not single",17,2,145000,250000
"102",37,"not single",12,3,47000,5000
"103",27,"not single",12,5,25000,100000
"104",66,"not single",14,2,112000,10000
"105",35,"not single",12,5,65000,20000
"106",60,"not single",16,2,30000,5250000
"107",45,"not single",16,4,185000,400000
"108",59,"not single",17,2,173000,50000
"109",82,"not single",16,2,420000,400000
"110",59,"single",15,1,25000,5000
"111",28,"not single",16,4,38000,500000
"112",61,"single",12,2,28000,40000
"113",51,"not single",17,4,250000,3500000
"114",50,"not single",14,3,126000,200000
"115",50,"not single",14,2,88000,300000
"116",52,"not single",16,5,95000,25000
"117",32,"not single",16,3,138000,5000000
"118",60,"not single",14,2,104000,284000
"119",27,"not single",11,4,55000,50000
"120",67,"single",14,3,5000,5000
"121",70,"not single",17,2,20000,35000
"122",58,"single",12,1,36000,10000
"123",33,"single",17,1,76000,247000
"124",60,"not single",13,2,51000,52000
"125",36,"not single",10,4,44000,100000
"126",66,"not single",13,2,19000,35000
"127",44,"not single",14,2,60000,200000
"128",43,"not single",14,5,497000,2100000
"129",37,"single",13,3,17000,15000
"130",41,"single",12,1,18000,23000
"131",62,"single",17,1,61000,9500
"132",47,"single",16,3,34000,50000
"133",53,"single",16,1,63000,60000
"134",77,"not single",10,2,4000,10000
"135",46,"not single",17,4,320000,500000
"136",47,"not single",15,3,100000,30000
"137",51,"single",16,1,42000,40000
"138",43,"not single",15,4,52000,3000
"139",55,"not single",14,2,54000,250000
"140",46,"not single",16,5,60000,1850000
"141",69,"not single",12,2,4000,50000
"142",43,"single",17,1,110000,150000
"143",24,"single",16,2,15000,50000
"144",38,"not single",17,5,50000,100000
"145",62,"not single",17,2,310000,50000
"146",45,"single",17,1,65000,72000
"147",35,"single",17,1,54000,120000
"148",50,"not single",12,3,92000,220000
"149",34,"not single",12,4,110000,200000
"150",42,"not single",14,6,254000,800000
"151",37,"not single",16,6,110000,1100000
"152",73,"not single",17,2,55000,2500
"153",46,"not single",16,1,157000,500000
"154",48,"single",16,1,72000,150000
"155",67,"not single",17,2,140000,150000
"156",47,"not single",15,2,50000,23000
"157",60,"not single",12,2,13000,50000
"158",49,"not single",17,4,2750000,4000000
"159",48,"single",16,2,61000,300000
"160",69,"not single",17,2,750000,100000
"161",72,"single",12,1,5000,2500
"162",25,"single",16,1,33000,25000
"163",51,"not single",14,4,190000,5000000
"164",55,"not single",12,4,44000,425000
"165",54,"not single",17,3,60000,580000
"166",39,"not single",16,3,130000,300000
"167",39,"not single",13,4,66000,335000
"168",39,"not single",17,3,247000,820000
"169",68,"not single",13,2,4000,10000
"170",22,"single",12,2,10000,20000
"171",54,"not single",16,3,140000,400000
"172",64,"not single",15,2,250000,800
"173",36,"single",14,2,26000,100000
"174",60,"not single",6,4,20000,4000
"175",42,"not single",12,5,73000,100000
"176",49,"not single",16,3,950000,2000000
"177",51,"not single",3,2,70000,40000
"178",58,"not single",12,2,50000,183000
"179",61,"single",12,1,13000,50000
"180",38,"not single",12,4,49000,500000
"181",47,"not single",17,4,389000,1000000
"182",54,"not single",13,4,85000,20000
"183",59,"not single",17,2,110000,400000
"184",52,"not single",17,5,310000,3000000
"185",58,"single",14,1,24000,20000
"186",38,"not single",17,2,275000,1000000
"187",30,"single",14,4,36000,25000
"188",61,"not single",17,3,200000,1500000
"189",50,"not single",17,3,207000,2000000
"190",55,"not single",17,4,600000,2000000
"191",42,"not single",17,4,157000,2100000
"192",42,"not single",14,5,85000,126000
"193",23,"not single",12,4,61000,110000
"194",33,"not single",12,4,34000,170000
"195",31,"not single",17,3,60000,1000000
"196",56,"not single",17,2,36000,750000
"197",48,"not single",17,4,260,2130000
"198",64,"not single",10,2,32000,30000
"199",52,"not single",12,3,29000,75000
"200",41,"not single",12,5,63000,130000
"201",57,"not single",14,2,95000,150000
"202",74,"not single",16,2,775000,6000000
"203",37,"single",16,1,39000,50000
"204",63,"not single",17,2,1450000,1500000
"205",38,"not single",12,8,27000,125000
"206",55,"not single",2,3,80000,20000
"207",30,"not single",14,4,42000,100000
"208",56,"single",14,4,25000,75000
"209",40,"single",16,1,95000,10000
"210",45,"not single",14,4,115000,500000
"211",44,"single",14,1,30000,25000
"212",52,"not single",12,2,56000,25000
"213",48,"not single",11,2,55000,10000
"214",42,"single",13,2,35000,11000
"215",61,"single",17,2,40000,10000
"216",44,"not single",17,4,206000,1250000
"217",59,"not single",16,2,260,100000
"218",42,"not single",16,4,111000,1440000
"219",29,"single",16,1,27000,100000
"220",41,"not single",16,2,148000,250000
"221",56,"not single",16,2,1110000,2000000
"222",26,"not single",16,3,3980000,5000000
"223",30,"not single",12,3,75000,100000
"224",61,"not single",17,2,17000,400000
"225",38,"not single",12,6,78000,225000
"226",49,"not single",16,4,435000,450000
"227",56,"not single",14,3,2000,50000
"228",61,"not single",14,2,114000,1800000
"229",62,"not single",13,2,72000,10000000
"230",39,"not single",17,3,85000,10000
"231",40,"single",16,3,25000,250000
"232",20,"not single",14,2,500,2600
"233",44,"not single",16,1,35000,50000
"234",47,"single",12,2,21000,98000
"235",67,"not single",16,2,3000,2500000
"236",46,"single",11,1,38000,140000
"237",27,"single",16,2,8000,85000
"238",39,"not single",12,5,47000,50000
"239",46,"not single",12,2,45000,10000
"240",30,"not single",12,5,50000,91000
"241",56,"not single",17,2,10000,8500000
"242",45,"not single",17,6,200000,10000000
"243",38,"not single",16,2,95000,200000
"244",46,"not single",17,6,120000,150000
"245",58,"not single",16,2,56000,200000
"246",38,"not single",13,6,60000,150000
"247",44,"single",12,3,30000,90000
"248",47,"not single",16,4,97000,1000000
"249",62,"single",16,1,834000,14000000
"250",45,"not single",17,4,242000,1500000
"251",45,"not single",14,6,57000,265000
"252",32,"not single",14,4,71000,200000
"253",56,"not single",16,3,70000,300000
"254",24,"not single",14,3,50000,200000
"255",67,"not single",17,2,350000,4000000
"256",34,"not single",12,4,106000,250000
"257",51,"not single",14,9,52000,50000
"258",42,"not single",14,5,40000,600000
"259",43,"not single",16,4,82000,300000
"260",80,"not single",16,2,36000,100000
"261",58,"not single",14,2,125000,125000
"262",24,"not single",16,2,43000,41000
"263",58,"not single",17,2,850000,1500000
"264",52,"not single",16,2,21000,150000
"265",47,"single",16,3,102000,400000
"266",56,"not single",11,2,53000,10000
"267",34,"not single",12,5,40000,10000
"268",22,"single",11,1,10000,10000
"269",53,"single",17,1,60000,1000000
"270",61,"single",13,1,40000,5000
"271",37,"single",17,1,244000,600000
"272",43,"not single",16,3,35000,40000
"273",63,"not single",16,4,66000,200000
"274",47,"not single",12,3,80000,530000
"275",82,"single",12,1,38000,10000
